name,title,medium,year,size,sale,sold,estimate
Mona Kuhn,"AD 6387, 2014",chromogenic print,2014,Later Imp 2019,4/8,,
Meghann Riepenhoff,"Littoral Drift Nearshore #469 (Bainbridge Island, WA 10.18.16, Three Waves, Poured, Dawn to Dusk), 2016",dynamic cyanotype,2016,Height 18.5 in.; Width 23.7 in. / Height 46.9 cm.; Width 60.3 cm.,"Signed, Inscribed","4,000 - 6,000 USD",
Nancy Rexroth,"A Woman's Bed, Logan, Ohio, 1970",gelatin silver print,1970,Height 4 in.; Width 4.5 in. / Height 10.1 cm.; Width 11.4 cm.,"Christie's New York: Tuesday, April 6, 2021 [Lot 00092]
Photographs","3,250 USD Premium","2,000 - 3,000 USD ?"
Alec Soth,"Girl with Flowers, Beijing, China, 2004",chromogenic print,2004,Height 40 in.; Width 32 in. / Height 101.6 cm.; Width 81.2 cm.,"Signed, Inscribed","10,000 - 15,000 USD",
Nick Brandt,"Elephant Mother and Two Babies, 2002",platinum-palladium print,2002,Height 27.2 in.; Width 33.2 in. / Height 69.2 cm.; Width 84.4 cm.,Signed,"10,000 - 15,000 USD",
Nick Brandt,"Rhino on Lake, 2007",archival pigment print,2007,Height 20.5 in.; Width 20.5 in. / Height 52 cm.; Width 52 cm.,Signed,"6,000 - 8,000 USD",
Nick Brandt,"Elephant Mother and Baby Walking in Tandem, Maasai Mara, 2003",archival pigment print,2003,Height 20 in.; Width 20 in. / Height 50.8 cm.; Width 50.8 cm.,Signed,"4,000 - 6,000 USD",
Richard Misrach,"Untitled (20402#FC), 2011",archival pigment print,2011,Height 39.9 in.; Width 59.5 in. / Height 101.4 cm.; Width 151.1 cm.,"Signed, Inscribed","30,000 - 40,000 USD",
Zanele Muholi,"Gamalawo, 2019",gelatin silver print,2019,Height 27.5 in.; Width 20.7 in. / Height 69.8 cm.; Width 52.7 cm.,"Christie's New York: Tuesday, April 6, 2021 [Lot 00135]
Photographs","25,000 USD Premium","12,000 - 18,000 USD ?"
Alex Prager,"Hannah, 2007",chromogenic print,2007,Height 24 in.; Width 27 in. / Height 60.9 cm.; Width 68.5 cm.,"Signed, Inscribed","6,000 - 9,000 USD",
George Charles Haite,The Flower Show,oil on canvas,1898,Height 45.5 in.; Width 73.3 in. / Height 115.6 cm.; Width 186.1 cm.,"Christie's New York: Tuesday, March 30, 2021 [Lot 00096]
The Collection of Mrs. Henry Ford II: Palm Beach","43,750 USD Premium","15,000 - 20,000 USD ?"
Julius LeBlanc Stewart,Study for 'Full Speed',oil on canvas,Circa 1886,Height 32 in.; Width 23.6 in. / Height 81.3 cm.; Width 60 cm.,"30,000 - 50,000 USD ?",,"225,000 USD Premium ?"
Chinese School (15/16),Portrait of the Yongle Emperor,ink and color on silk,Height 15.4 in.; Width 4.4 in. / Height 39 cm.; Width 11.1 cm.,Inscribed,"8,000 - 15,000 USD ?",,"125,000 USD Premium ?"
Attributed to Gu Jianlong,Shoulao on a White Deer,ink and color on silk,Height 71.9 in.; Width 15 in. / Height 182.5 cm.; Width 38.1 cm.,"Signed, Inscribed, Stamped","15,000 - 25,000 USD ?",,"50,000 USD Premium ?"
Francis Newton Souza,Still Life with Flowers,oil on board,1965,Height 24 in.; Width 30 in. / Height 61 cm.; Width 76.2 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01009]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"60,000 - 80,000 USD ?"
Krishen Khanna,Untitled (Portrait of Lilly),oil on board,Circa 1956-1959,Height 25 in.; Width 18.6 in. / Height 63.5 cm.; Width 47.3 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01014]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","17,500 USD Premium","5,000 - 7,000 USD ?"
Krishen Khanna,Untitled (Malati and Martha),oil on canvas,1966,Height 64 in.; Width 37 in. / Height 162.6 cm.; Width 94 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01015]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"80,000 - 120,000 USD ?"
Krishen Khanna,Untitled (Sitar Player),oil on canvas,1967,Height 54 in.; Width 33 in. / Height 137.2 cm.; Width 83.8 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01016]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"40,000 - 60,000 USD ?"
Ram Kumar,Untitled,oil on canvas,1961,Height 25 in.; Width 30 in. / Height 63.5 cm.; Width 76.2 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01030]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"50,000 - 70,000 USD ?"
M.F. Husain,The Hostages,acrylic on canvas,1979-1980,Height 45.7 in.; Width 121.3 in. / Height 116.2 cm.; Width 308 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01037]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","162,500 USD Premium","150,000 - 250,000 USD ?"
Natvar Bhavsar,Sorathee,oil on canvas,1982,Height 84.5 in.; Width 68.4 in. / Height 214.6 cm.; Width 173.7 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01052]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","100,000 USD Premium","50,000 - 70,000 USD ?"
Francis Newton Souza,Untitled (Man in Blue Tunic),oil on canvas,1961,Height 41.5 in.; Width 23.4 in. / Height 105.4 cm.; Width 59.4 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01011]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","187,500 USD Premium","150,000 - 250,000 USD ?"
Francis Newton Souza,Family,oil on card laid on board,1946,Height 27 in.; Width 40 in. / Height 68.7 cm.; Width 101.6 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01012]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","822,000 USD Premium","450,000 - 600,000 USD ?"
Krishen Khanna,Journey Into Winter II,oil on canvas,1963,Height 37.8 in.; Width 49.8 in. / Height 95.9 cm.; Width 126.4 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01017]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","68,750 USD Premium","40,000 - 60,000 USD ?"
Krishen Khanna,Untitled (Madonna),oil on canvas,1966,Height 28 in.; Width 23 in. / Height 71.1 cm.; Width 58.4 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01019]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","37,500 USD Premium","18,000 - 25,000 USD ?"
Francis Newton Souza,Untitled (Landscape),oil on canvas,1990,Height 55.5 in.; Width 23 in. / Height 141 cm.; Width 58.4 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01028]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","150,000 USD Premium","120,000 - 180,000 USD ?"
M.F. Husain,Untitled (Female Figures),acrylic on canvas board,1971,Height 26.1 in.; Width 56.1 in. / Height 66.4 cm.; Width 142.6 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01038]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"120,000 - 180,000 USD ?"
M.F. Husain,Untitled (Rajasthani Couple),oil on canvas,Circa 1960-1969,Height 22 in.; Width 30 in. / Height 55.9 cm.; Width 76.2 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01041]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","60,000 USD Premium","40,000 - 60,000 USD ?"
M.F. Husain,Durga,oil on canvas,1968,Height 35.8 in.; Width 27.8 in. / Height 91 cm.; Width 70.5 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01042]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","112,500 USD Premium","60,000 - 80,000 USD ?"
M.F. Husain,Bathers,oil on canvas,1979,Height 31.1 in.; Width 42.2 in. / Height 79.1 cm.; Width 107.3 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01043]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","100,000 USD Premium","80,000 - 120,000 USD ?"
M.F. Husain,Untitled (Dada Abdul ka Tanga),acrylic on canvas,1996,Height 16 in.; Width 19.8 in. / Height 40.6 cm.; Width 50.2 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01047]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","40,000 USD Premium","20,000 - 30,000 USD ?"
Francis Newton Souza,Ganesh,acrylic on canvas,1992,Height 36 in.; Width 24 in. / Height 91.4 cm.; Width 61 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01048]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","50,000 USD Premium","40,000 - 60,000 USD ?"
M.F. Husain,Ganesha,Chinese ink and acrylic on paper laid on canvas,Circa 1996-1999,Height 59.3 in.; Width 78.3 in. / Height 150.5 cm.; Width 198.8 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01049]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","62,500 USD Premium","60,000 - 80,000 USD ?"
Jitish Kallat,Rickshawpolis (The Dented Chariot) - 4,"oil, acrylic, enamel and aluminum paint on canvas",2006,Height 69.8 in.; Width 47.9 in. / Height 177.2 cm.; Width 121.6 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01054]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","25,000 USD Premium","30,000 - 50,000 USD ?"
Ranjani Shettar,Stonewalls bloom,"acrylic armature, muslin dyed in pomegranate skin, tamarind seed paste and lacquer",2013-2014,Height 25 in.; Width 36 in. / Height 63.5 cm.; Width 91.4 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01007]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","81,250 USD Premium","60,000 - 80,000 USD ?"
Sayed Haider Raza,Côte d'Or,oil on board,1969,Height 19.6 in.; Width 19.6 in. / Height 49.8 cm.; Width 49.8 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01029]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"30,000 - 50,000 USD ?"
Jagdish Swaminathan,Untitled,mixed media on canvas,Circa 1990-1999,Height 32 in.; Width 46 in. / Height 81.3 cm.; Width 116.8 cm.,"50,000 - 70,000 USD ?",,"62,500 USD Premium ?"
Biren De,Untitled (Vaishnavites),oil on canvas,1955,Height 30.7 in.; Width 23.3 in. / Height 78.1 cm.; Width 59.1 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01034]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","32,500 USD Premium","10,000 - 15,000 USD ?"
Rameshwar Broota,That Common Story,oil on canvas,1969,Height 105.1 in.; Width 69.7 in. / Height 267 cm.; Width 177 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01036]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"150,000 - 200,000 USD ?"
B. Prabha,Untitled (Herdsmen),oil on canvas,Circa 1960-1964,Height 36 in.; Width 36 in. / Height 91.4 cm.; Width 91.4 cm.,"18,000 - 25,000 USD ?",,"32,500 USD Premium ?"
Akbar Padamsee,Untitled (Metascape),oil on canvas,2009,Height 36 in.; Width 24 in. / Height 91.4 cm.; Width 61 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01051]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"70,000 - 90,000 USD ?"
T.V. Santhosh,A Survivor's Testimony,oil on canvas,2009,Height 47.7 in.; Width 72 in. / Height 121.2 cm.; Width 182.9 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01055]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","13,750 USD Premium","20,000 - 30,000 USD ?"
Benode Behari Mukherjee,Roses,tempera on silk,1952,Height 15.2 in.; Width 8.5 in. / Height 38.7 cm.; Width 21.6 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01090]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"15,000 - 20,000 USD ?"
Indian School (16),"A LARGE ILLUSTRATED LEAF FROM THE TARIKHNAMA OF ABU 'ALI MUHAMMAD BIN MUHAMMAD AL-BAL'AMI: AFSHIN AND BABAK ARRIVING AT SAMARA, PERSIA, SAFAVID DYNASTY, 16TH CENTURY",painting,Circa 1500-1599,Height 10.7 in.; Width 8.7 in. / Height 27.3 cm.; Width 22.2 cm.,"10,000 - 15,000 USD ?",,"15,000 USD Premium ?"
Indian School (19),"AN ILLUSTRATION TO A NALA AND DAMAYANTI SERIES: DAMAYANTI SEEKS TO FIND NALA IN THE FOREST, NORTH INDIA, PUNJAB HILLS, KANGRA, 1820-30",painting,Circa 1820-1830,Height 9.8 in.; Width 14 in. / Height 24.8 cm.; Width 35.6 cm.,"15,000 - 20,000 USD ?",,"27,500 USD Premium ?"
Nasreen Mohamedi,Untitled,gelatin silver print,Circa 1960-1969,Later Imp 1990 - 1999,2/10,"25,000 - 35,000 USD",
B. Prabha,Untitled (Bahar Blossom),oil on canvas,1967,Height 27.9 in.; Width 22 in. / Height 70.8 cm.; Width 55.9 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01008]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","8,750 USD Premium","6,000 - 8,000 USD ?"
Sakti Burman,Song of a Bird,oil on canvas,2003,Height 45.5 in.; Width 35 in. / Height 115.6 cm.; Width 88.9 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01021]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","106,250 USD Premium","40,000 - 60,000 USD ?"
Sayed Haider Raza,Untitled,acrylic on canvas,1977,Height 31.9 in.; Width 25.6 in. / Height 81 cm.; Width 65 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01032]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","100,000 USD Premium","60,000 - 80,000 USD ?"
Jagdish Swaminathan,"Untitled (Bird, Tree and Mountain Series)",oil on canvas,1982,Height 33.1 in.; Width 48.1 in. / Height 84.1 cm.; Width 122.2 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01033]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","162,500 USD Premium","80,000 - 120,000 USD ?"
Tyeb Mehta,Untitled (Confidant),oil on canvas,1962,Height 40 in.; Width 49.8 in. / Height 101.6 cm.; Width 126.4 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01035]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","750,000 USD Premium","600,000 - 800,000 USD ?"
Sayed Haider Raza,Encounter,acrylic on canvas,2000,Height 39.4 in.; Width 39.4 in. / Height 100 cm.; Width 100 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01050]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","187,500 USD Premium","120,000 - 180,000 USD ?"
Anju Dodiya,Flame Play,watercolor and charcoal on paper and embroidery on mattress; diptych,2006,Height 83.5 in.; Width 54.5 in. / Height 212.1 cm.; Width 138.4 cm.,"20,000 - 30,000 USD ?",,"40,000 USD Premium ?"
Atul Dodiya,Cracks in Mondrian - Bihar,acrylic with marble dust on canvas hinged on PVC pipe,2004-2005,Height 82 in.; Width 68 in. / Height 208.3 cm.; Width 172.7 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01057]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"40,000 - 60,000 USD ?"
Benode Behari Mukherjee,Frying Fish,oil on canvas board,Circa 1953,Height 12 in.; Width 12 in. / Height 30.5 cm.; Width 30.5 cm.,"30,000 - 50,000 USD ?",,"70,000 USD Premium ?"
Indian School (17),"A CONQUEROR, POSSIBLY ALEXANDER THE GREAT, RIDING WITH HIS BODYGUARD AND OVERSEEING A BATTLE, INDIA, SUB MUGHAL, CIRCA 1620-30",painting,Circa 1620-1630,Height 9 in.; Width 5.9 in. / Height 22.9 cm.; Width 14.9 cm.,"5,000 - 7,000 USD ?",,"20,000 USD Premium ?"
Amrita Sher-Gil,Portrait of Denyse,oil on canvas,Circa 1932,Height 18.1 in.; Width 15 in. / Height 46 cm.; Width 38 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01020]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"1,800,000 - 2,800,000 USD ?"
Sakti Burman,Untitled (Landscape),oil on canvas,1959,Height 28.5 in.; Width 35.7 in. / Height 72.4 cm.; Width 90.8 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01027]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"25,000 - 35,000 USD ?"
Narayan Shridhar Bendre,Untitled (Construction),oil on canvas,1987,Height 71 in.; Width 35.5 in. / Height 180.3 cm.; Width 90.2 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01039]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation","225,000 USD Premium","120,000 - 180,000 USD ?"
Benode Behari Mukherjee,Three Figures,tempera on silk,1954,Height 11.7 in.; Width 11.7 in. / Height 29.8 cm.; Width 29.8 cm.,"Christie's New York: Wednesday, March 17, 2021 [Lot 01075]
South Asian Modern + Contemporary Art Including Works by Benodebehari Mukherjee from the Mrinalini Mukherjee Foundation",Bought In,"12,000 - 18,000 USD ?"
Indian School (19),AN ILLUSTRATION FROM THE 'LAMBAGRAON' GITA GOVINDA SERIES: KRISHNA CHARMS RADHA IN A FOREST GLADE,painting,Circa 1820,Height 9 in.; Width 12.8 in. / Height 22.9 cm.; Width 32.4 cm.,"150,000 - 200,000 USD ?",,"575,000 USD Premium ?"
Indian School (19),"A PRINCE ON HORSEBACK PAUSING AT A WELL, NORTHEAST INDIA, WEST BENGAL, MURSHIDABAD, CIRCA 1840",painting,Circa 1840,Height 9.4 in.; Width 6.8 in. / Height 23.8 cm.; Width 17.2 cm.,"4,000 - 6,000 USD ?",,Bought In
Utagawa Hiroshige II,Famous Views of Tokaido Road,"Thirty paintings mounted as an accordion album; ink, color and gold on silk",Height 11.9 in.; Width 13.1 in. / Height 30.2 cm.; Width 33.3 cm.,Signed,"30,000 - 40,000 USD ?",,"37,500 USD Premium ?"
Utagawa Yoshiiku,Artisans and Events of the Twelve Months,"Thirty paintings mounted as an accordion album; ink, color, gold and silver on silk",Height 11.9 in.; Width 13.1 in. / Height 30.2 cm.; Width 33.3 cm.,Signed,"20,000 - 30,000 USD ?",,"52,500 USD Premium ?"
Utagawa Kunisada (Toyokuni III),Three Beauties,"Hanging scroll; ink, color and gold on silk",Height 43.7 in.; Width 19.3 in. / Height 111 cm.; Width 48.9 cm.,Signed,"20,000 - 30,000 USD ?",,Bought In
Toko Shinoda,Untitled,"Sumi-ink, platinum leaf on silk, framed",Height 17.8 in.; Width 10.5 in. / Height 45.1 cm.; Width 26.7 cm.,Signed,"6,000 - 8,000 USD ?",,"13,750 USD Premium ?"
Itō Jakuchū,Pair of Cranes and the Rising Sun,Hanging scroll; ink and color on silk,Height 49 in.; Width 21.9 in. / Height 124.5 cm.; Width 55.6 cm.,Signed,"300,000 - 400,000 USD ?",,"1,590,000 USD Premium ?"
Toshiyuki Enoki,"Tarezaru (Hanging Monkey), 2019; Nenjiru (Pray Silently), 2020","Acrylic, ink, natural pigment and gold leaf on panel",Circa 2019-2020,Height 16.1 in.; Width 12.5 in. / Height 41 cm.; Width 31.8 cm.,"Christie's New York: Tuesday, March 16, 2021 [Lot 00019]
Japanese and Korean Art","9,375 USD Premium","3,000 - 4,000 USD ?"
Keisuke Serizawa,Iroha uta (Hiragana Syllabary Poem),Six stencil-dyed (katazome) silk cloths mounted as a six-panel screen,Height 60.9 in.; Width 14.8 in. / Height 154.6 cm.; Width 37.5 cm.,"Signed, Inscribed","40,000 - 60,000 USD ?",,Bought In
Kano Eitoku,Scenes from the Tale of Genji,"Thirty paintings mounted as an accordion album; ink, color, gold and gold flecks on silk",Height 11.9 in.; Width 13.1 in. / Height 30.2 cm.; Width 33.3 cm.,Signed,"4,000 - 6,000 USD ?",,"5,000 USD Premium ?"
Taki Katei,"Birds, Flowers and Fruits",Thirty paintings mounted as an accordion album; ink and color on silk,Height 11.9 in.; Width 13.1 in. / Height 30.2 cm.; Width 33.3 cm.,Signed,"3,000 - 4,000 USD ?",,"6,250 USD Premium ?"
Kakei Atomi,"Landscapes, Birds and Flowers",Thirty paintings mounted as an accordion album; ink and color on silk,Height 11.9 in.; Width 13.1 in. / Height 30.2 cm.; Width 33.3 cm.,Signed,"3,000 - 4,000 USD ?",,"3,750 USD Premium ?"
Hattori Sessai,Birds and Flowers,"Thirty paintings mounted as an accordion album; ink, color and gold flecks on silk",Height 11.9 in.; Width 13.1 in. / Height 30.2 cm.; Width 33.3 cm.,Signed,"4,000 - 6,000 USD ?",,"5,000 USD Premium ?"
Hokuba,Two Beauties under Blossoming Cherry Tree,"Hanging scroll; ink, color and gold on silk",Height 43.4 in.; Width 17.6 in. / Height 110.2 cm.; Width 44.8 cm.,Signed,"20,000 - 30,000 USD ?",,"25,000 USD Premium ?"
Anonymous-Korean,Tiger and Magpie,Hanging scroll; ink and color on silk,Height 65.4 in.; Width 33.9 in. / Height 166.1 cm.; Width 86 cm.,"Signed, Inscribed","50,000 - 60,000 USD ?",,"62,500 USD Premium ?"
Kano Shosen'in Tadanobu,Scenes from the Tale of Genji and Views of Famous Places,"Thirty paintings mounted as an accordion album; ink, color, gold and gold flecks on silk",Height 11.9 in.; Width 13.1 in. / Height 30.2 cm.; Width 33.3 cm.,Signed,"4,000 - 6,000 USD ?",,Bought In
Oba Gakusen,Birds and Flowers,Thirty paintings mounted as an accordion album; ink and color on silk,Height 11.9 in.; Width 13.1 in. / Height 30.2 cm.; Width 33.3 cm.,Signed,"4,000 - 6,000 USD ?",,"20,000 USD Premium ?"
Anonymous-Korean (16),Gathering of Government Officials,Hanging scroll; ink on silk,1565,Height 18.3 in.; Width 22 in. / Height 46.4 cm.; Width 55.9 cm.,"Christie's New York: Tuesday, March 16, 2021 [Lot 00249]
Japanese and Korean Art","37,500 USD Premium","30,000 - 40,000 USD ?"
Morimura Yoshine,"Dragon, Clouds and Waves",Pair of six-panel screens; ink and gold leaf on silk,Height 61 in.; Width 138 in. / Height 154.9 cm.; Width 350.5 cm.,Signed,"15,000 - 25,000 USD ?",,"25,000 USD Premium ?"
Toshiyuki Enoki,"Sennyu (Spring), 2017","Acrylic, ink and natural pigment on panel",2017,Height 39.4 in.; Width 31.6 in. / Height 100 cm.; Width 80.3 cm.,"Christie's New York: Tuesday, March 16, 2021 [Lot 00018]
Japanese and Korean Art","20,000 USD Premium","6,000 - 8,000 USD ?"
Toyohara Kunichika,"Artisans, Beauties and Annual Events","Thirty paintings mounted as an accordion album; ink, color, gold and gold flecks on silk",Height 11.9 in.; Width 13.1 in. / Height 30.2 cm.; Width 33.3 cm.,Signed,"30,000 - 40,000 USD ?",,"56,250 USD Premium ?"
Fuko Matsumoto,Scenes From Various Tales,"Thirty paintings mounted as an accordion album; ink, color, gold, gold leaf and gold flecks on silk",Height 11.9 in.; Width 13.1 in. / Height 30.2 cm.; Width 33.3 cm.,"Signed, Stamped","7,000 - 9,000 USD ?",,Bought In
Gerhard Richter,Guildenstern,Cibachrome photograph in colors between Plexiglas and Alucobond plates,1998,Height 45.8 in.; Width 40.1 in. / Height 116.2 cm.; Width 101.9 cm.,Signed,"20,000 - 30,000 USD",
Gerhard Richter,Uran (Uranium),silver gelatin print,1989,Height 39.3 in.; Width 27.5 in. / Height 99.7 cm.; Width 69.8 cm.,Signed,"20,000 - 30,000 USD",
Gerhard Richter,Abstraktes Foto (Abstract Photo),silver gelatin print,1989,Height 19.6 in.; Width 27.5 in. / Height 49.8 cm.; Width 69.8 cm.,Signed,"8,000 - 12,000 USD",
Gerhard Richter,Domecke I (Cathedral Corner I),Cibachrome photograph between Plexiglas plates,1998,Height 30.6 in.; Width 21.5 in. / Height 77.8 cm.; Width 54.6 cm.,Signed,"10,000 - 15,000 USD",
Matthew Wong,Luminous Night,oil on canvas,2017,Height 72 in.; Width 48 in. / Height 182.9 cm.; Width 121.9 cm.,"600,000 - 800,000 USD ?",,"2,190,000 USD Premium ?"
Matthew Wong,Country Road at the Break of Dawn,acrylic on canvas,2016,Height 15.9 in.; Width 12 in. / Height 40.3 cm.; Width 30.5 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00009]
Post-War to Present","537,500 USD Premium","40,000 - 60,000 USD ?"
Kenny Scharf,Fred Rock,oil on canvas,1983,Height 12 in.; Width 15.9 in. / Height 30.5 cm.; Width 40.3 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00014]
Post-War to Present","40,000 USD Premium","15,000 - 20,000 USD ?"
Andy Warhol,Marilyn,acrylic and silkscreen ink on canvas,1979-1986,Height 20 in.; Width 16 in. / Height 50.8 cm.; Width 40.6 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00017]
Post-War to Present","1,290,000 USD Premium","800,000 - 1,200,000 USD ?"
Keith Haring,Untitled,vinyl paint on vinyl tarpaulin with metal grommets,1983,Height 73 in.; Width 73 in. / Height 185.4 cm.; Width 185.4 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00018]
Post-War to Present","3,000,000 USD Premium","2,500,000 - 3,500,000 USD ?"
Carroll Dunham,Tree with Yellow,oil and graphite on canvas,2007,Height 24 in.; Width 30 in. / Height 61 cm.; Width 76.2 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00027]
Post-War to Present","35,000 USD Premium","40,000 - 60,000 USD ?"
Beatriz Milhazes,O Egoísta,acrylic on canvas,1999,Height 78.5 in.; Width 35.5 in. / Height 199.4 cm.; Width 90.2 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00028]
Post-War to Present","337,500 USD Premium","250,000 - 350,000 USD ?"
Ed Ruscha,Palapa,acrylic on canvas,1996,Height 36 in.; Width 24 in. / Height 91.4 cm.; Width 61 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00031]
Post-War to Present",Bought In,"400,000 - 600,000 USD ?"
